ID,Squares,No_of_rooms,Address,Price,One_Sq
3613,50,2.5,Beograd Opština Zvezdara,92500,1461.4519261140167
3614,52,2.0,Beograd Opština Zvezdara,123720,1461.4519261140167
3615,46,1.5,Beograd Opština Vračar,128800,2275.3672683163954
3616,39,1.5,Beograd Opština Čukarica,48750,1324.4002797487278
3617,60,3.0,Beograd Opština Stari grad,159000,2531.903872181951
3618,57,2.0,Beograd Opština Zvezdara,109500,1461.4519261140167
3619,63,2.0,Beograd Opština Vračar,164900,2275.3672683163954
3620,60,3.0,Beograd Opština Zvezdara,115900,1461.4519261140167
3621,87,3.0,Beograd Opština Voždovac,174000,1490.3747385405104
3622,64,1.5,Beograd Opština Rakovica,62000,991.4218432222813
3623,75,3.0,Beograd Opština Novi Beograd,135000,1735.3775474934005
3624,56,2.5,Beograd Opština Novi Beograd,73990,1735.3775474934005
3625,97,4.0,Beograd Opština Savski venac,242500,2723.3487453316557
3626,94,3.5,Beograd Opština Savski venac,160000,2723.3487453316557
3627,65,3.0,Beograd Opština Palilula,73000,1282.912470736089
3628,57,2.0,Beograd Opština Zemun,74000,1230.719435933011
3629,70,2.5,Beograd Opština Zvezdara,117000,1461.4519261140167
3630,70,2.5,Beograd Opština Zvezdara,63500,1461.4519261140167
3632,42,2.0,Beograd Opština Zvezdara,66500,1461.4519261140167
3633,56,2.0,Beograd Opština Novi Beograd,99990,1735.3775474934005
3634,49,2.5,Beograd Opština Zvezdara,56500,1461.4519261140167
3635,80,3.0,Beograd Opština Novi Beograd,115000,1735.3775474934005
3636,77,2.5,Beograd Opština Vračar,180000,2275.3672683163954
3637,43,1.5,Beograd Opština Zemun,64000,1230.719435933011
3638,44,2.5,Beograd Opština Palilula,46000,1282.912470736089
3639,46,1.5,Beograd Opština Zemun,35000,1230.719435933011
3640,74,3.0,Beograd Opština Zemun,63000,1230.719435933011
3641,72,3.0,Beograd Opština Čukarica,76000,1324.4002797487278
3642,46,1.5,Beograd Opština Novi Beograd,101990,1735.3775474934005
3643,38,1.0,Beograd Opština Čukarica,29900,1324.4002797487278
3644,48,2.0,Beograd Opština Palilula,55000,1282.912470736089
